name,review_count,rating,longitude,latitude,country,state,price
Poke Papa,745,4.5,-77.0232999,38.8997294,US,DC,2
Ben's Chili Bowl,3779,3.5,-77.02878,38.91727,US,DC,1
Sakuramen,1593,4.0,-77.0420884061516,38.9216012545356,US,DC,2
&pizza - E Street,999,4.5,-77.0263680524658,38.8963050035053,US,DC,1
Wiseguy Pizza,1051,4.5,-77.0160423825012,38.899670106188,US,DC,1
Pisco Y Nazca,808,4.5,-77.0426388,38.90398223,US,DC,2
Smithsonian National Air and Space Museum,1101,4.0,-77.01987,38.888165,US,DC,N/A
NuVegan Café,1146,4.5,-77.0232229,38.9278669,US,DC,2
Falafel Inc,552,5.0,-77.06536,38.90546,US,DC,1
Ted's Bulletin,2077,4.0,-76.99535,38.88251,US,DC,2
Calabash Tea & Tonic,487,5.0,-77.02169,38.91509,US,DC,1
Ted's Bulletin,1691,4.0,-77.03211,38.91469,US,DC,2
HipCityVeg,932,4.5,-77.022216796875,38.8989524841309,US,DC,2
The Hamilton,2523,4.0,-77.0320804809509,38.8974544016632,US,DC,2
Pi Pizzeria,1702,4.0,-77.024709,38.897154,US,DC,2
Library of Congress,469,4.5,-77.0045020200387,38.8887325486836,US,DC,N/A
Oyamel,2768,3.5,-77.02167,38.89495,US,DC,2
El Diablo Burritos,285,4.5,-75.5612559710203,39.7576354130021,US,DE,1
Scalessa's,136,5.0,-75.56231,39.76078,US,DE,2
Scrumptious,307,4.0,-75.56272,39.75876,US,DE,2
Big Fish Grill - Riverfront,391,4.0,-75.56141,39.73266,US,DE,2
El Pique,156,4.5,-75.587022610202,39.7341380498999,US,DE,2
Rasa Sayang,243,4.0,-75.544136,39.780752,US,DE,2
Southeast Kitchen,224,4.0,-75.564244,39.759952,US,DE,2
Sakura Japanese Sushi Restaurant,161,4.5,-75.60085,39.7396,US,DE,2
Legal Grounds Cafe,63,5.0,-75.60055,39.73897,US,DE,1
Russell's Quality Food,93,5.0,-75.619443655014,39.7309826781335,US,DE,1
Drop Squad Kitchen,249,4.0,-75.5615956587219,39.7294641977503,US,DE,2
Gaudiello's Italian Hoagies,94,4.5,-75.5610637,39.7577327,US,DE,1
Sweet Somethings,76,4.5,-75.5690841674805,39.7545204162598,US,DE,2
Iron Hill Brewery & Restaurant,446,3.5,-75.5604558438063,39.7334079298336,US,DE,2
La Fia,164,4.0,-75.551175,39.74116,US,DE,2
Eclipse Bistro,120,4.5,-75.56859,39.75499,US,DE,3
El Diablo Burritos,160,4.5,-75.5045807361603,39.8040688598359,US,DE,1
Corner Bistro,182,4.0,-75.54781,39.80854,US,DE,2
Cafe SiTALY,150,4.5,-75.4875947,39.8228504,US,DE,2
Bubble Shack,85,4.5,-75.54761,39.8006,US,DE,1
